X,Y,ID,POZO_NRO,X_COORD,Y_COORD,icon_url
-68.7272960616663,-31.5349144667227,"75",Z-75,2525987.45537,6511857.64815,./0.png
-68.7264306047227,-31.5367796081824,"74",Z-74,2526069.12951,6511650.63681,./0.png
-68.7288695095345,-31.537787993763,"73",Z-73,2525837.23976,6511539.40312,./0.png
-68.7244461613896,-31.535351054802,"76",Z-76,2526257.98259,6511808.56210,./0.png
-68.7226269184326,-31.537593044721,"72",Z-72,2526430.12197,6511559.53475,./0.png
-68.724585359012,-31.5390460513603,"71",Z-71,2526243.73323,6511398.89496,./0.png
-68.7262568978928,-31.539029119049,"70",Z-70,2526085.00241,6511401.17033,./0.png
-68.7270102590363,-31.540372742563,"66",Z-66,2526013.08913,6511252.36817,./0.png
-68.7249660966123,-31.5410390966408,"67",Z-67,2526207.02206,6511177.99730,./0.png
-68.7234944512673,-31.5399589332242,"68",Z-68,2526347.07434,6511297.41378,./0.png
-68.7240374180953,-31.54148512074,"64",Z-64,2526295.08633,6511128.32039,./0.png
-68.7258888010453,-31.5424803946693,"58",Z-58,2526119.00054,6511018.40606,./0.png
-68.7228278810067,-31.5429599962705,"59",Z-59,2526409.53161,6510964.49635,./0.png
-68.722168831274,-31.5421272811578,"60",Z-60,2526472.34903,6511056.66913,./0.png
-68.7191176425598,-31.539640406799,"69",Z-69,2526762.79887,6511331.67438,./0.png
-68.7203769575658,-31.5439085528682,"57",Z-57,2526642.00215,6510858.72888,./0.png
-68.7192487872657,-31.5452929683688,"54",Z-54,2526748.73832,6510704.95091,./0.png
-68.7169168326563,-31.5416712194336,"62",Z-62,2526971.21266,6511105.96009,./0.png
-68.7290223341165,-31.5421185484749,"61",Z-61,2525821.53884,6511059.26798,./0.png
-68.7275773023536,-31.5454075360113,"55",Z-55,2525957.85275,6510694.24504,./0.png
-68.7242276751798,-31.5454034999341,"51",Z-51,2526275.92528,6510693.89647,./0.png
-68.72150979479,-31.5460076565789,"52",Z-52,2526533.83743,6510626.25452,./0.png
-68.7168535661559,-31.5486929894818,"46",Z-46,2526975.20752,6510327.37108,./0.png
-68.7169037303325,-31.5494959782416,"41",Z-41,2526970.21405,6510238.34799,./0.png
-68.71719005001,-31.5501413875835,"34",Z-34,2526942.84227,6510166.85524,./0.png
-68.7151249224379,-31.549300005759,"40",Z-40,2527139.17400,6510259.63938,./0.png
-68.7159461237769,-31.5495933342458,"37",Z-37,2527061.11381,6510227.31768,./0.png
-68.7160773638469,-31.5513678796059,"29",Z-29,2527048.14197,6510030.58834,./0.png
-68.7172476598725,-31.5517152021904,"26",Z-26,2526936.92144,6509992.36474,./0.png
-68.7153554230908,-31.5529566726983,"25",Z-25,2527116.23317,6509854.24487,./0.png
-68.716318923938,-31.5530354986932,"22",Z-22,2527024.72646,6509845.74207,./0.png
-68.7174951412803,-31.5541715080072,"21",Z-21,2526912.72013,6509720.07002,./0.png
-68.7161244516906,-31.5553394911902,"18",Z-18,2527042.52914,6509590.22728,./0.png
-68.7185052715993,-31.5518358133136,"39",Z-39,2526817.47570,6509979.29905,./0.png
-68.7188961639508,-31.5529020142851,"30",Z-30,2526780.05665,6509861.17397,./0.png
-68.7188881737335,-31.5538113365373,"24",Z-24,2526780.55645,6509760.34630,./0.png
-68.7189706882039,-31.5545052947008,"20",Z-20,2526772.52430,6509683.42027,./0.png
-68.7179246047504,-31.5566900389288,"14",Z-14,2526871.22377,6509440.92015,./0.png
-68.7180791147212,-31.5575352530632,"11",Z-11,2526856.31235,6509347.24047,./0.png
-68.720162811195,-31.5474225721146,"49",Z-49,2526661.34159,6510469.04270,./0.png
-68.7195391543425,-31.5518594752037,"42",Z-42,2526719.30102,6509976.92733,./0.png
-68.7195919314126,-31.552470887685,"35",Z-35,2526714.11617,6509909.14672,./0.png
-68.7230161263736,-31.5508391498317,"45",Z-45,2526389.44614,6510090.90144,./0.png
-68.7224035423523,-31.5527716915783,"32",Z-32,2526447.06882,6509876.47384,./0.png
-68.7246673779575,-31.5530710732645,"33",Z-33,2526232.03459,6509843.82114,./0.png
-68.7201702300028,-31.5538118868035,"27",Z-27,2526658.82663,6509760.59712,./0.png
-68.7204443570831,-31.5555902948994,"17",Z-17,2526632.29510,6509563.47356,./0.png
-68.720621862441,-31.557116639612,"12",Z-12,2526615.00962,6509394.27529,./0.png
-68.7182263951811,-31.5585323509866,"8",Z-08,2526842.04424,6509236.71809,./0.png
-68.7156019687861,-31.5605740883232,"5",Z-05,2527090.62961,6509009.68550,./0.png
-68.7210894213339,-31.5598130214013,"6",Z-06,2526569.85533,6509095.41325,./0.png
-68.7209998225777,-31.5619640713912,"1",Z-01,2526577.75417,6508856.88272,./0.png
-68.7187761407891,-31.5619628907906,"2",Z-02,2526788.87199,6508856.47337,./0.png
-68.7126970028916,-31.5596873544605,"7",Z-07,2527366.69076,6509107.28654,./0.png
-68.7125956669152,-31.5606652703498,"3",Z-03,2527376.02720,6508998.82975,./0.png
-68.7119999370353,-31.5547333906466,"19",Z-19,2527434.31721,6509656.40901,./0.png
-68.7088808486122,-31.5559338395468,"15",Z-15,2527730.11407,6509522.51980,./0.png
-68.7092421066345,-31.5584203137433,"9",Z-09,2527695.08160,6509246.91023,./0.png
-68.7123398707772,-31.5571625377602,"13",Z-13,2527401.33352,6509387.14966,./0.png
-68.7094854494255,-31.5602076002907,"4",Z-04,2527671.45170,6509048.79683,./0.png
-68.7115780597927,-31.5505675564897,"31",Z-31,2527475.59032,6510118.21166,./0.png
-68.7090311720575,-31.5524217945318,"23",Z-23,2527716.87627,6509911.97377,./0.png
-68.7057711562754,-31.5540399281211,"16",Z-16,2528025.93334,6509731.72770,./0.png
-68.7137447456396,-31.5464118021445,"50",Z-50,2527271.06356,6510579.54165,./0.png
-68.7111661898982,-31.5471604505538,"44",Z-44,2527515.69470,6510495.88860,./0.png
-68.7087127203763,-31.549765250602,"38",Z-38,2527747.89693,6510206.45118,./0.png
-68.7057838856561,-31.5514697059925,"28",Z-28,2528025.49050,6510016.71750,./0.png
-68.7074930204843,-31.5465307025577,"48",Z-48,2527864.66900,6510564.78926,./0.png
-68.7045805247456,-31.5466686764995,"43",Z-43,2528141.18723,6510548.74832,./0.png
-68.7016698921414,-31.5478722777512,"36",Z-36,2528417.20587,6510414.54369,./0.png
-68.7013592982871,-31.5457776932127,"47",Z-47,2528447.33163,6510646.71093,./0.png
-68.7037616412037,-31.5430800276735,"63",Z-63,2528220.02154,6510946.44764,./0.png
-68.7010927814734,-31.5434331923051,"56",Z-56,2528473.34878,6510906.60016,./0.png
-68.7003977764006,-31.5421662006497,"65",Z-65,2528539.73031,6511046.90383,./0.png
-68.7152785469227,-31.5578461924391,"10",Z-10,2527122.12261,6509312.07531,./0.png
-68.7045260123796,-31.545162027864,"53",Z-53,2528146.81425,6510715.79158,./0.png
